model,family,evaluation_role,macro_f1,recall_ksi,recall_slight,confusion_matrix,latency_ms_per_1k
binary_random_guess,binary_random_guess,baseline,0.43858641784381475,0.4991635707923266,0.49908303776808255,"[[22976,23053],[111714,111305]]",0.09403449803357944
binary_majority_class,binary_majority_class,baseline,0.45322893020665883,0.0,1.0,"[[0,46029],[0,223019]]",0.014785502571612597
binary_logistic_regression,binary_logistic_regression,candidate,0.5582003432027051,0.6375328597188729,0.6344257664145208,"[[29345,16684],[81530,141489]]",8.9722855045693
binary_random_forest_balanced,random_forest,champion,0.6010925806589957,0.5401377392513416,0.7473847519718051,"[[24862,21167],[56338,166681]]",43.60882999753812
binary_xgboost_balanced,xgboost,finalist,0.5699373761296304,0.6824176062916857,0.633107493083549,"[[31411,14618],[81824,141195]]",12.246480502653867
binary_lightgbm_balanced,lightgbm,finalist,0.5661516970864057,0.6897390775380738,0.6241082598343639,"[[31748,14281],[83831,139188]]",13.524999500077683
binary_catboost_balanced,catboost,finalist,0.5649865163842573,0.6861326554997936,0.6238347405378017,"[[31582,14447],[83892,139127]]",14.612929997383617
binary_svm_linear_balanced,svm_linear,candidate,0.5589457282436823,0.6364031371526646,0.6361072374999439,"[[29293,16736],[81155,141864]]",9.352362998470198
binary_svm_sgd_balanced,svm_sgd,candidate,0.5526629976016932,0.653848660626996,0.6184719687560253,"[[30096,15933],[85088,137931]]",9.049052001500968
binary_svm_rbf_balanced,svm_rbf,candidate,0.5599402556556248,0.6062699602424558,0.6514108663387425,"[[27906,18123],[77742,145277]]",324.7971340024378
